A,A,A,13,B,2,C,3,D,4,E,5,,-858993460,,-858993460,,-858993460,,-858993460,,-858993460,,-858993460,,-858993460
A,A,A,1,B,2,C,3,D,4,E,5,,-858993460,,-858993460,,-858993460,,-858993460,,-858993460,,-858993460,,-858993460
A,A,A,1,B,2,C,3,D,4,E,5,,-858993460,,-858993460,,-858993460,,-858993460,,-858993460,,-858993460,,-858993460
A,A,A,1,B,2,C,3,D,4,E,5,,-858993460,,-858993460,,-858993460,,-858993460,,-858993460,,-858993460,,-858993460
A,A,A,1,B,2,C,3,D,4,E,5,,-858993460,,-858993460,,-858993460,,-858993460,,-858993460,,-858993460,,-858993460
A,A,A,1,B,2,C,3,D,4,E,5,,-858993460,,-858993460,,-858993460,,-858993460,,-858993460,,-858993460,,-858993460
A,A,A,1,B,2,C,3,D,4,E,5,,-858993460,,-858993460,,-858993460,,-858993460,,-858993460,,-858993460,,-858993460
A,A,A,1,B,2,C,3,D,4,E,5,,-858993460,,-858993460,,-858993460,,-858993460,,-858993460,,-858993460,,-858993460
A,A,A,1,B,2,C,3,D,4,E,5,,-858993460,,-858993460,,-858993460,,-858993460,,-858993460,,-858993460,,-858993460
A,A,A,1,B,2,C,3,D,4,E,5,,-858993460,,-858993460,,-858993460,,-858993460,,-858993460,,-858993460,,-858993460
A,A,A,1,B,2,C,3,D,4,E,5,,-858993460,,-858993460,,-858993460,,-858993460,,-858993460,,-858993460,,-858993460
A,A,A,1,B,2,C,3,D,4,E,5,,-858993460,,-858993460,,-858993460,,-858993460,,-858993460,,-858993460,,-858993460
A,A,A,1,B,2,C,3,D,4,E,5,,-858993460,,-858993460,,-858993460,,-858993460,,-858993460,,-858993460,,-858993460
